pixel_x,pixel_y,gray,paper_x_kx_a0,paper_E_meV
479,184,118,0.04641509433962265,7.52
480,184,36,0.04679245283018868,7.52
481,184,56,0.047169811320754734,7.52
482,184,131,0.04754716981132076,7.52
457,185,124,0.03811320754716982,7.466666666666667
458,185,40,0.038490566037735846,7.466666666666667
459,185,61,0.0388679245283019,7.466666666666667
460,185,143,0.03924528301886793,7.466666666666667
480,185,117,0.04679245283018868,7.466666666666667
481,185,47,0.047169811320754734,7.466666666666667
482,185,34,0.04754716981132076,7.466666666666667
483,185,80,0.04792452830188679,7.466666666666667
456,186,136,0.03773584905660379,7.413333333333333
457,186,33,0.03811320754716982,7.413333333333333
458,186,84,0.038490566037735846,7.413333333333333
459,186,156,0.0388679245283019,7.413333333333333
481,186,157,0.047169811320754734,7.413333333333333
482,186,91,0.04754716981132076,7.413333333333333
483,186,38,0.04792452830188679,7.413333333333333
484,186,66,0.04830188679245284,7.413333333333333
455,187,139,0.03735849056603774,7.359999999999999
456,187,45,0.03773584905660379,7.359999999999999
457,187,63,0.03811320754716982,7.359999999999999
483,187,109,0.04792452830188679,7.359999999999999
484,187,44,0.04830188679245284,7.359999999999999
485,187,78,0.04867924528301887,7.359999999999999
454,188,131,0.03698113207547171,7.306666666666667
455,188,45,0.03735849056603774,7.306666666666667
456,188,55,0.03773584905660379,7.306666666666667
484,188,131,0.04830188679245284,7.306666666666667
485,188,18,0.04867924528301887,7.306666666666667
486,188,129,0.04905660377358492,7.306666666666667
453,189,61,0.03660377358490566,7.253333333333333
454,189,3,0.03698113207547171,7.253333333333333
455,189,63,0.03735849056603774,7.253333333333333
485,189,25,0.04867924528301887,7.253333333333333
486,189,129,0.04905660377358492,7.253333333333333
452,190,63,0.03622641509433963,7.199999999999999
453,190,11,0.03660377358490566,7.199999999999999
454,190,77,0.03698113207547171,7.199999999999999
485,190,76,0.04867924528301887,7.199999999999999
486,190,77,0.04905660377358492,7.199999999999999
452,191,19,0.03622641509433963,7.1466666666666665
453,191,54,0.03660377358490566,7.1466666666666665
454,191,156,0.03698113207547171,7.1466666666666665
485,191,156,0.04867924528301887,7.1466666666666665
486,191,62,0.04905660377358492,7.1466666666666665
487,191,118,0.04943396226415095,7.1466666666666665
451,192,70,0.035849056603773605,7.093333333333333
452,192,56,0.03622641509433963,7.093333333333333
453,192,143,0.03660377358490566,7.093333333333333
486,192,61,0.04905660377358492,7.093333333333333
487,192,94,0.04943396226415095,7.093333333333333
451,193,8,0.035849056603773605,7.04
452,193,113,0.03622641509433963,7.04
486,193,77,0.04905660377358492,7.04
487,193,86,0.04943396226415095,7.04
450,194,91,0.03547169811320755,6.986666666666666
451,194,16,0.035849056603773605,6.986666666666666
452,194,121,0.03622641509433963,6.986666666666666
486,194,131,0.04905660377358492,6.986666666666666
487,194,66,0.04943396226415095,6.986666666666666
488,194,118,0.049811320754717,6.986666666666666
449,195,151,0.035094339622641524,6.933333333333333
450,195,38,0.03547169811320755,6.933333333333333
451,195,121,0.035849056603773605,6.933333333333333
487,195,92,0.04943396226415095,6.933333333333333
488,195,66,0.049811320754717,6.933333333333333
449,196,93,0.035094339622641524,6.88
450,196,53,0.03547169811320755,6.88
487,196,96,0.04943396226415095,6.88
488,196,59,0.049811320754717,6.88
448,197,135,0.03471698113207547,6.826666666666666
449,197,63,0.035094339622641524,6.826666666666666
450,197,113,0.03547169811320755,6.826666666666666
487,197,129,0.04943396226415095,6.826666666666666
488,197,61,0.049811320754717,6.826666666666666
489,197,141,0.05018867924528303,6.826666666666666
448,198,81,0.03471698113207547,6.773333333333333
449,198,73,0.035094339622641524,6.773333333333333
488,198,87,0.049811320754717,6.773333333333333
489,198,66,0.05018867924528303,6.773333333333333
447,199,134,0.03433962264150944,6.72
448,199,53,0.03471698113207547,6.72
449,199,120,0.035094339622641524,6.72
488,199,131,0.049811320754717,6.72
489,199,25,0.05018867924528303,6.72
447,200,41,0.03433962264150944,6.666666666666666
448,200,77,0.03471698113207547,6.666666666666666
488,200,131,0.049811320754717,6.666666666666666
489,200,25,0.05018867924528303,6.666666666666666
446,201,142,0.033962264150943416,6.613333333333333
447,201,28,0.03433962264150944,6.613333333333333
448,201,140,0.03471698113207547,6.613333333333333
489,201,56,0.05018867924528303,6.613333333333333
490,201,87,0.050566037735849056,6.613333333333333
445,202,155,0.03358490566037736,6.56
446,202,50,0.033962264150943416,6.56
447,202,72,0.03433962264150944,6.56
489,202,126,0.05018867924528303,6.56
490,202,29,0.050566037735849056,6.56
445,203,107,0.03358490566037736,6.506666666666666
446,203,2,0.033962264150943416,6.506666666666666
447,203,145,0.03433962264150944,6.506666666666666
490,203,10,0.050566037735849056,6.506666666666666
491,203,124,0.05094339622641511,6.506666666666666
445,204,84,0.03358490566037736,6.453333333333333
446,204,33,0.033962264150943416,6.453333333333333
490,204,28,0.050566037735849056,6.453333333333333
491,204,89,0.05094339622641511,6.453333333333333
444,205,77,0.033207547169811336,6.3999999999999995
445,205,21,0.03358490566037736,6.3999999999999995
446,205,134,0.033962264150943416,6.3999999999999995
490,205,82,0.050566037735849056,6.3999999999999995
491,205,62,0.05094339622641511,6.3999999999999995
443,206,127,0.03283018867924528,6.346666666666667
444,206,8,0.033207547169811336,6.346666666666667
445,206,37,0.03358490566037736,6.346666666666667
491,206,46,0.05094339622641511,6.346666666666667
492,206,117,0.05132075471698114,6.346666666666667
443,207,77,0.03283018867924528,6.293333333333333
444,207,30,0.033207547169811336,6.293333333333333
445,207,117,0.03358490566037736,6.293333333333333
491,207,54,0.05094339622641511,6.293333333333333
492,207,58,0.05132075471698114,6.293333333333333
442,208,116,0.032452830188679255,6.239999999999999
443,208,63,0.03283018867924528,6.239999999999999
444,208,111,0.033207547169811336,6.239999999999999
491,208,85,0.05094339622641511,6.239999999999999
492,208,51,0.05132075471698114,6.239999999999999
493,208,140,0.05169811320754719,6.239999999999999
442,209,61,0.032452830188679255,6.1866666666666665
443,209,67,0.03283018867924528,6.1866666666666665
491,209,142,0.05094339622641511,6.1866666666666665
492,209,69,0.05132075471698114,6.1866666666666665
493,209,117,0.05169811320754719,6.1866666666666665
441,210,121,0.03207547169811323,6.133333333333333
442,210,45,0.032452830188679255,6.133333333333333
443,210,88,0.03283018867924528,6.133333333333333
492,210,83,0.05132075471698114,6.133333333333333
493,210,67,0.05169811320754719,6.133333333333333
441,211,28,0.03207547169811323,6.079999999999999
442,211,89,0.032452830188679255,6.079999999999999
492,211,105,0.05132075471698114,6.079999999999999
493,211,25,0.05169811320754719,6.079999999999999
494,211,106,0.05207547169811322,6.079999999999999
440,212,140,0.031698113207547174,6.026666666666666
441,212,16,0.03207547169811323,6.026666666666666
492,212,135,0.05132075471698114,6.026666666666666
493,212,56,0.05169811320754719,6.026666666666666
494,212,105,0.05207547169811322,6.026666666666666
440,213,49,0.031698113207547174,5.973333333333333
441,213,75,0.03207547169811323,5.973333333333333
493,213,95,0.05169811320754719,5.973333333333333
494,213,64,0.05207547169811322,5.973333333333333
439,214,147,0.03132075471698115,5.92
440,214,12,0.031698113207547174,5.92
493,214,130,0.05169811320754719,5.92
494,214,29,0.05207547169811322,5.92
495,214,138,0.052452830188679245,5.92
439,215,78,0.03132075471698115,5.866666666666666
440,215,49,0.031698113207547174,5.866666666666666
493,215,158,0.05169811320754719,5.866666666666666
494,215,27,0.05207547169811322,5.866666666666666
495,215,70,0.052452830188679245,5.866666666666666
438,216,104,0.030943396226415093,5.813333333333333
439,216,34,0.03132075471698115,5.813333333333333
440,216,146,0.031698113207547174,5.813333333333333
494,216,70,0.05207547169811322,5.813333333333333
495,216,64,0.052452830188679245,5.813333333333333
438,217,74,0.030943396226415093,5.76
439,217,61,0.03132075471698115,5.76
494,217,140,0.05207547169811322,5.76
495,217,12,0.052452830188679245,5.76
437,218,83,0.030566037735849066,5.706666666666666
438,218,60,0.030943396226415093,5.706666666666666
439,218,133,0.03132075471698115,5.706666666666666
495,218,3,0.052452830188679245,5.706666666666666
496,218,84,0.0528301886792453,5.706666666666666
436,219,153,0.030188679245283012,5.653333333333333
437,219,48,0.030566037735849066,5.653333333333333
438,219,85,0.030943396226415093,5.653333333333333
495,219,35,0.052452830188679245,5.653333333333333
496,219,59,0.0528301886792453,5.653333333333333
436,220,107,0.030188679245283012,5.6
437,220,59,0.030566037735849066,5.6
438,220,136,0.030943396226415093,5.6
495,220,106,0.052452830188679245,5.6
496,220,50,0.0528301886792453,5.6
435,221,129,0.029811320754716986,5.546666666666666
436,221,25,0.030188679245283012,5.546666666666666
437,221,92,0.030566037735849066,5.546666666666666
496,221,28,0.0528301886792453,5.546666666666666
497,221,112,0.053207547169811326,5.546666666666666
435,222,129,0.029811320754716986,5.493333333333333
436,222,25,0.030188679245283012,5.493333333333333
437,222,157,0.030566037735849066,5.493333333333333
496,222,36,0.0528301886792453,5.493333333333333
497,222,42,0.053207547169811326,5.493333333333333
498,222,157,0.05358490566037738,5.493333333333333
434,223,129,0.02943396226415096,5.4399999999999995
435,223,24,0.029811320754716986,5.4399999999999995
436,223,87,0.030188679245283012,5.4399999999999995
496,223,80,0.0528301886792453,5.4399999999999995
497,223,59,0.053207547169811326,5.4399999999999995
498,223,157,0.05358490566037738,5.4399999999999995
434,224,106,0.02943396226415096,5.386666666666666
435,224,1,0.029811320754716986,5.386666666666666
496,224,159,0.0528301886792453,5.386666666666666
497,224,62,0.053207547169811326,5.386666666666666
498,224,116,0.05358490566037738,5.386666666666666
433,225,152,0.029056603773584905,5.333333333333333
434,225,67,0.02943396226415096,5.333333333333333
435,225,57,0.029811320754716986,5.333333333333333
497,225,71,0.053207547169811326,5.333333333333333
498,225,65,0.05358490566037738,5.333333333333333
433,226,83,0.029056603773584905,5.279999999999999
434,226,26,0.02943396226415096,5.279999999999999
435,226,159,0.029811320754716986,5.279999999999999
497,226,94,0.053207547169811326,5.279999999999999
498,226,39,0.05358490566037738,5.279999999999999
499,226,122,0.053962264150943406,5.279999999999999
433,227,79,0.029056603773584905,5.226666666666667
434,227,51,0.02943396226415096,5.226666666666667
497,227,133,0.053207547169811326,5.226666666666667
498,227,66,0.05358490566037738,5.226666666666667
499,227,116,0.053962264150943406,5.226666666666667
432,228,70,0.028679245283018878,5.173333333333333
433,228,47,0.029056603773584905,5.173333333333333
434,228,138,0.02943396226415096,5.173333333333333
498,228,93,0.05358490566037738,5.173333333333333
499,228,63,0.053962264150943406,5.173333333333333
227,229,121,-0.04867924528301887,5.119999999999999
228,229,151,-0.04830188679245283,5.119999999999999
432,229,59,0.028679245283018878,5.119999999999999
433,229,76,0.029056603773584905,5.119999999999999
498,229,120,0.05358490566037738,5.119999999999999
499,229,29,0.053962264150943406,5.119999999999999
500,229,117,0.05433962264150943,5.119999999999999
224,230,133,-0.04981132075471698,5.066666666666666
225,230,107,-0.04943396226415094,5.066666666666666
226,230,83,-0.04905660377358491,5.066666666666666
227,230,65,-0.04867924528301887,5.066666666666666
228,230,59,-0.04830188679245283,5.066666666666666
229,230,58,-0.047924528301886794,5.066666666666666
230,230,81,-0.047547169811320754,5.066666666666666
231,230,131,-0.04716981132075472,5.066666666666666
431,230,94,0.028301886792452824,5.066666666666666
432,230,63,0.028679245283018878,5.066666666666666
433,230,134,0.029056603773584905,5.066666666666666
498,230,146,0.05358490566037738,5.066666666666666
499,230,43,0.053962264150943406,5.066666666666666
500,230,87,0.05433962264150943,5.066666666666666
222,231,130,-0.050566037735849056,5.013333333333333
223,231,66,-0.05018867924528302,5.013333333333333
224,231,31,-0.04981132075471698,5.013333333333333
225,231,36,-0.04943396226415094,5.013333333333333
226,231,76,-0.04905660377358491,5.013333333333333
227,231,129,-0.04867924528301887,5.013333333333333
228,231,102,-0.04830188679245283,5.013333333333333
229,231,65,-0.047924528301886794,5.013333333333333
230,231,46,-0.047547169811320754,5.013333333333333
231,231,53,-0.04716981132075472,5.013333333333333
232,231,81,-0.04679245283018868,5.013333333333333
233,231,81,-0.04641509433962264,5.013333333333333
234,231,135,-0.046037735849056606,5.013333333333333
430,231,140,0.027924528301886797,5.013333333333333
431,231,36,0.028301886792452824,5.013333333333333
432,231,92,0.028679245283018878,5.013333333333333
499,231,88,0.053962264150943406,5.013333333333333
500,231,63,0.05433962264150943,5.013333333333333
219,232,135,-0.05169811320754717,4.96
220,232,95,-0.05132075471698113,4.96
221,232,62,-0.0509433962264151,4.96
222,232,38,-0.050566037735849056,4.96
223,232,42,-0.05018867924528302,4.96
224,232,71,-0.04981132075471698,4.96
225,232,129,-0.04943396226415094,4.96
230,232,151,-0.047547169811320754,4.96
231,232,128,-0.04716981132075472,4.96
232,232,45,-0.04679245283018868,4.96
233,232,36,-0.04641509433962264,4.96
234,232,27,-0.046037735849056606,4.96
235,232,61,-0.045660377358490566,4.96
236,232,104,-0.04528301886792453,4.96
237,232,116,-0.04490566037735849,4.96
430,232,119,0.027924528301886797,4.96
431,232,45,0.028301886792452824,4.96
432,232,145,0.028679245283018878,4.96
499,232,139,0.053962264150943406,4.96
500,232,20,0.05433962264150943,4.96
501,232,157,0.05471698113207549,4.96
217,233,93,-0.052452830188679245,4.906666666666666
218,233,26,-0.05207547169811321,4.906666666666666
219,233,0,-0.05169811320754717,4.906666666666666
220,233,14,-0.05132075471698113,4.906666666666666
221,233,67,-0.0509433962264151,4.906666666666666
234,233,148,-0.046037735849056606,4.906666666666666
235,233,65,-0.045660377358490566,4.906666666666666
236,233,0,-0.04528301886792453,4.906666666666666
237,233,0,-0.04490566037735849,4.906666666666666
238,233,0,-0.04452830188679245,4.906666666666666
239,233,96,-0.04415094339622642,4.906666666666666
240,233,128,-0.04377358490566038,4.906666666666666
430,233,26,0.027924528301886797,4.906666666666666
431,233,90,0.028301886792452824,4.906666666666666
500,233,7,0.05433962264150943,4.906666666666666
501,233,60,0.05471698113207549,4.906666666666666
213,234,150,-0.0539622641509434,4.853333333333333
214,234,81,-0.05358490566037736,4.853333333333333
215,234,44,-0.05320754716981132,4.853333333333333
216,234,35,-0.052830188679245285,4.853333333333333
217,234,56,-0.052452830188679245,4.853333333333333
218,234,117,-0.05207547169811321,4.853333333333333
219,234,156,-0.05169811320754717,4.853333333333333
237,234,149,-0.04490566037735849,4.853333333333333
238,234,108,-0.04452830188679245,4.853333333333333
239,234,82,-0.04415094339622642,4.853333333333333
240,234,45,-0.04377358490566038,4.853333333333333
241,234,32,-0.04339622641509434,4.853333333333333
242,234,56,-0.0430188679245283,4.853333333333333
243,234,99,-0.04264150943396226,4.853333333333333
244,234,142,-0.04226415094339623,4.853333333333333
429,234,138,0.02754716981132077,4.853333333333333
430,234,15,0.027924528301886797,4.853333333333333
500,234,53,0.05433962264150943,4.853333333333333
501,234,63,0.05471698113207549,4.853333333333333
211,235,149,-0.05471698113207547,4.8
212,235,89,-0.05433962264150943,4.8
213,235,46,-0.0539622641509434,4.8
214,235,28,-0.05358490566037736,4.8
215,235,50,-0.05320754716981132,4.8
216,235,117,-0.052830188679245285,4.8
241,235,130,-0.04339622641509434,4.8
242,235,77,-0.0430188679245283,4.8
243,235,63,-0.04264150943396226,4.8
244,235,48,-0.04226415094339623,4.8
245,235,130,-0.04188679245283019,4.8
429,235,48,0.02754716981132077,4.8
430,235,77,0.027924528301886797,4.8
500,235,129,0.05433962264150943,4.8
501,235,30,0.05471698113207549,4.8
211,236,52,-0.05471698113207547,4.746666666666666
212,236,69,-0.05433962264150943,4.746666666666666
213,236,101,-0.0539622641509434,4.746666666666666
214,236,127,-0.05358490566037736,4.746666666666666
215,236,159,-0.05320754716981132,4.746666666666666
243,236,148,-0.04264150943396226,4.746666666666666
244,236,72,-0.04226415094339623,4.746666666666666
245,236,65,-0.04188679245283019,4.746666666666666
246,236,115,-0.04150943396226415,4.746666666666666
428,236,144,0.027169811320754716,4.746666666666666
429,236,14,0.02754716981132077,4.746666666666666
501,236,11,0.05471698113207549,4.746666666666666
502,236,144,0.055094339622641514,4.746666666666666
210,237,45,-0.055094339622641514,4.6933333333333325
211,237,36,-0.05471698113207547,4.6933333333333325
212,237,152,-0.05433962264150943,4.6933333333333325
245,237,78,-0.04188679245283019,4.6933333333333325
246,237,40,-0.04150943396226415,4.6933333333333325
247,237,73,-0.041132075471698115,4.6933333333333325
248,237,147,-0.040754716981132075,4.6933333333333325
428,237,77,0.027169811320754716,4.6933333333333325
429,237,52,0.02754716981132077,4.6933333333333325
501,237,11,0.05471698113207549,4.6933333333333325
502,237,117,0.055094339622641514,4.6933333333333325
209,238,92,-0.05547169811320755,4.64
210,238,16,-0.055094339622641514,4.64
211,238,121,-0.05471698113207547,4.64
246,238,84,-0.04150943396226415,4.64
247,238,20,-0.041132075471698115,4.64
248,238,23,-0.040754716981132075,4.64
249,238,107,-0.040377358490566034,4.64
427,238,134,0.02679245283018869,4.64
428,238,36,0.027169811320754716,4.64
429,238,148,0.02754716981132077,4.64
501,238,19,0.05471698113207549,4.64
502,238,49,0.055094339622641514,4.64
208,239,86,-0.05584905660377359,4.586666666666666
209,239,34,-0.05547169811320755,4.586666666666666
210,239,121,-0.055094339622641514,4.586666666666666
248,239,104,-0.040754716981132075,4.586666666666666
249,239,18,-0.040377358490566034,4.586666666666666
250,239,106,-0.04,4.586666666666666
427,239,77,0.02679245283018869,4.586666666666666
428,239,64,0.027169811320754716,4.586666666666666
501,239,69,0.05471698113207549,4.586666666666666
502,239,62,0.055094339622641514,4.586666666666666
207,240,124,-0.05622641509433962,4.533333333333333
208,240,39,-0.05584905660377359,4.533333333333333
209,240,85,-0.05547169811320755,4.533333333333333
249,240,102,-0.040377358490566034,4.533333333333333
250,240,48,-0.04,4.533333333333333
251,240,79,-0.03962264150943396,4.533333333333333
252,240,150,-0.03924528301886793,4.533333333333333
426,240,115,0.026415094339622636,4.533333333333333
427,240,60,0.02679245283018869,4.533333333333333
428,240,135,0.027169811320754716,4.533333333333333
501,240,75,0.05471698113207549,4.533333333333333
502,240,28,0.055094339622641514,4.533333333333333
503,240,154,0.05547169811320757,4.533333333333333
207,241,61,-0.05622641509433962,4.4799999999999995
208,241,68,-0.05584905660377359,4.4799999999999995
250,241,102,-0.04,4.4799999999999995
251,241,46,-0.03962264150943396,4.4799999999999995
252,241,50,-0.03924528301886793,4.4799999999999995
253,241,105,-0.038867924528301886,4.4799999999999995
426,241,68,0.026415094339622636,4.4799999999999995
427,241,87,0.02679245283018869,4.4799999999999995
501,241,140,0.05471698113207549,4.4799999999999995
502,241,32,0.055094339622641514,4.4799999999999995
503,241,126,0.05547169811320757,4.4799999999999995
206,242,77,-0.05660377358490566,4.426666666666666
207,242,44,-0.05622641509433962,4.426666666666666
208,242,131,-0.05584905660377359,4.426666666666666
251,242,129,-0.03962264150943396,4.426666666666666
252,242,75,-0.03924528301886793,4.426666666666666
253,242,53,-0.038867924528301886,4.426666666666666
254,242,81,-0.038490566037735846,4.426666666666666
425,242,113,0.02603773584905661,4.426666666666666
426,242,59,0.026415094339622636,4.426666666666666
427,242,139,0.02679245283018869,4.426666666666666
502,242,46,0.055094339622641514,4.426666666666666
503,242,110,0.05547169811320757,4.426666666666666
205,243,109,-0.0569811320754717,4.373333333333333
206,243,41,-0.05660377358490566,4.373333333333333
207,243,98,-0.05622641509433962,4.373333333333333
253,243,125,-0.038867924528301886,4.373333333333333
254,243,24,-0.038490566037735846,4.373333333333333
255,243,90,-0.03811320754716981,4.373333333333333
425,243,43,0.02603773584905661,4.373333333333333
426,243,94,0.026415094339622636,4.373333333333333
502,243,48,0.055094339622641514,4.373333333333333
503,243,103,0.05547169811320757,4.373333333333333
204,244,109,-0.057358490566037736,4.319999999999999
205,244,5,-0.0569811320754717,4.319999999999999
206,244,99,-0.05660377358490566,4.319999999999999
254,244,126,-0.038490566037735846,4.319999999999999
255,244,21,-0.03811320754716981,4.319999999999999
256,244,41,-0.03773584905660377,4.319999999999999
257,244,122,-0.03735849056603774,4.319999999999999
424,244,127,0.025660377358490583,4.319999999999999
425,244,24,0.02603773584905661,4.319999999999999
426,244,160,0.026415094339622636,4.319999999999999
502,244,61,0.055094339622641514,4.319999999999999
503,244,72,0.05547169811320757,4.319999999999999
203,245,143,-0.057735849056603776,4.266666666666667
204,245,33,-0.057358490566037736,4.266666666666667
205,245,101,-0.0569811320754717,4.266666666666667
255,245,126,-0.03811320754716981,4.266666666666667
256,245,43,-0.03773584905660377,4.266666666666667
257,245,21,-0.03735849056603774,4.266666666666667
258,245,66,-0.0369811320754717,4.266666666666667
259,245,160,-0.03660377358490566,4.266666666666667
424,245,23,0.025660377358490583,4.266666666666667
425,245,89,0.02603773584905661,4.266666666666667
502,245,101,0.055094339622641514,4.266666666666667
503,245,65,0.05547169811320757,4.266666666666667
504,245,145,0.055849056603773595,4.266666666666667
203,246,73,-0.057735849056603776,4.213333333333333
204,246,28,-0.057358490566037736,4.213333333333333
257,246,125,-0.03735849056603774,4.213333333333333
258,246,71,-0.0369811320754717,4.213333333333333
259,246,58,-0.03660377358490566,4.213333333333333
423,246,142,0.025283018867924528,4.213333333333333
424,246,0,0.025660377358490583,4.213333333333333
502,246,110,0.055094339622641514,4.213333333333333
503,246,40,0.05547169811320757,4.213333333333333
504,246,113,0.055849056603773595,4.213333333333333
202,247,114,-0.05811320754716981,4.159999999999999
203,247,42,-0.057735849056603776,4.159999999999999
204,247,85,-0.057358490566037736,4.159999999999999
258,247,149,-0.0369811320754717,4.159999999999999
259,247,59,-0.03660377358490566,4.159999999999999
260,247,67,-0.03622641509433962,4.159999999999999
423,247,66,0.025283018867924528,4.159999999999999
424,247,58,0.025660377358490583,4.159999999999999
502,247,154,0.055094339622641514,4.159999999999999
503,247,51,0.05547169811320757,4.159999999999999
504,247,88,0.055849056603773595,4.159999999999999
201,248,131,-0.05849056603773585,4.1066666666666665
202,248,63,-0.05811320754716981,4.1066666666666665
203,248,76,-0.057735849056603776,4.1066666666666665
259,248,149,-0.03660377358490566,4.1066666666666665
260,248,45,-0.03622641509433962,4.1066666666666665
261,248,76,-0.03584905660377359,4.1066666666666665
422,248,140,0.0249056603773585,4.1066666666666665
423,248,28,0.025283018867924528,4.1066666666666665
503,248,80,0.05547169811320757,4.1066666666666665
504,248,75,0.055849056603773595,4.1066666666666665
200,249,132,-0.05886792452830189,4.053333333333333
201,249,44,-0.05849056603773585,4.053333333333333
202,249,76,-0.05811320754716981,4.053333333333333
260,249,149,-0.03622641509433962,4.053333333333333
261,249,45,-0.03584905660377359,4.053333333333333
262,249,69,-0.03547169811320755,4.053333333333333
263,249,159,-0.03509433962264151,4.053333333333333
422,249,78,0.0249056603773585,4.053333333333333
423,249,54,0.025283018867924528,4.053333333333333
503,249,82,0.05547169811320757,4.053333333333333
504,249,72,0.055849056603773595,4.053333333333333
200,250,34,-0.05886792452830189,4.0
201,250,83,-0.05849056603773585,4.0
261,250,150,-0.03584905660377359,4.0
262,250,57,-0.03547169811320755,4.0
263,250,35,-0.03509433962264151,4.0
264,250,112,-0.03471698113207547,4.0
421,250,122,0.02452830188679246,4.0
422,250,48,0.0249056603773585,4.0
423,250,141,0.025283018867924528,4.0
503,250,104,0.05547169811320757,4.0
504,250,52,0.055849056603773595,4.0
505,250,158,0.05622641509433962,4.0
199,251,47,-0.059245283018867924,3.9466666666666654
200,251,6,-0.05886792452830189,3.9466666666666654
201,251,151,-0.05849056603773585,3.9466666666666654
262,251,150,-0.03547169811320755,3.9466666666666654
263,251,64,-0.03509433962264151,3.9466666666666654
264,251,35,-0.03471698113207547,3.9466666666666654
265,251,115,-0.03433962264150943,3.9466666666666654
421,251,73,0.02452830188679246,3.9466666666666654
422,251,78,0.0249056603773585,3.9466666666666654
503,251,134,0.05547169811320757,3.9466666666666654
504,251,60,0.055849056603773595,3.9466666666666654
505,251,117,0.05622641509433962,3.9466666666666654
198,252,141,-0.059622641509433964,3.8933333333333326
199,252,4,-0.059245283018867924,3.8933333333333326
200,252,91,-0.05886792452830189,3.8933333333333326
263,252,150,-0.03509433962264151,3.8933333333333326
264,252,62,-0.03471698113207547,3.8933333333333326
265,252,28,-0.03433962264150943,3.8933333333333326
266,252,127,-0.03396226415094339,3.8933333333333326
420,252,111,0.02415094339622642,3.8933333333333326
421,252,64,0.02452830188679246,3.8933333333333326
422,252,136,0.0249056603773585,3.8933333333333326
503,252,144,0.05547169811320757,3.8933333333333326
504,252,49,0.055849056603773595,3.8933333333333326
505,252,75,0.05622641509433962,3.8933333333333326
197,253,154,-0.060000000000000005,3.84
198,253,72,-0.059622641509433964,3.84
199,253,55,-0.059245283018867924,3.84
264,253,150,-0.03471698113207547,3.84
265,253,47,-0.03433962264150943,3.84
266,253,40,-0.03396226415094339,3.84
267,253,131,-0.03358490566037736,3.84
420,253,56,0.02415094339622642,3.84
421,253,94,0.02452830188679246,3.84
504,253,66,0.055849056603773595,3.84
505,253,48,0.05622641509433962,3.84
196,254,158,-0.06037735849056604,3.7866666666666653
197,254,69,-0.060000000000000005,3.7866666666666653
198,254,53,-0.059622641509433964,3.7866666666666653
199,254,157,-0.059245283018867924,3.7866666666666653
265,254,151,-0.03433962264150943,3.7866666666666653
